Month,Geometric mean,Arithmetic mean,
Sep-22,28.71130381,28.86950569,
Oct-22,25.01512906,25.26060632,
Nov-22,21.86929093,21.97879625,
Dec-22,14.99952406,15.40644926,
Jan-23,15.29207698,15.69514024,
Feb-23,17.11997535,17.34700714,
Mar-23,19.32164232,19.48717325,
Apr-23,21.90527979,22.05744708,
May-23,24.8761904,25.07422594,
Jun-23,27.85117851,27.93616069,
Jul-23,29.07516507,29.19673548,
Aug-23,28.83870304,28.94675685,
